ts,price,bid,ask,size
2026-02-27T14:30:00.000Z,17350.00,17350.00,17350.25,3
2026-02-27T14:30:00.125Z,17350.25,17350.00,17350.25,4
2026-02-27T14:30:00.250Z,17350.25,17350.00,17350.25,5
2026-02-27T14:30:00.375Z,17350.25,17350.00,17350.25,3
2026-02-27T14:30:00.500Z,17350.25,17350.00,17350.25,1
2026-02-27T14:30:00.625Z,17350.25,17350.00,17350.25,2
2026-02-27T14:30:00.750Z,17350.25,17350.00,17350.25,5
2026-02-27T14:30:00.875Z,17350.00,17350.00,17350.25,1
2026-02-27T14:30:01.000Z,17350.00,17350.00,17350.25,5
2026-02-27T14:30:01.125Z,17350.25,17350.00,17350.25,6
2026-02-27T14:30:01.250Z,17350.00,17350.00,17350.25,1
2026-02-27T14:30:01.375Z,17350.00,17350.00,17350.25,3
2026-02-27T14:30:01.500Z,17350.00,17350.00,17350.25,4
2026-02-27T14:30:01.625Z,17350.00,17350.00,17350.25,1
2026-02-27T14:30:01.750Z,17350.25,17350.00,17350.25,6
2026-02-27T14:30:01.875Z,17350.25,17350.00,17350.25,5
2026-02-27T14:30:02.000Z,17350.25,17350.00,17350.25,6
2026-02-27T14:30:02.125Z,17350.00,17350.00,17350.25,1
2026-02-27T14:30:02.250Z,17350.25,17350.00,17350.25,5
2026-02-27T14:30:02.375Z,17350.25,17350.00,17350.25,5
2026-02-27T14:30:02.500Z,17350.00,17350.00,17350.25,2
2026-02-27T14:30:02.625Z,17350.25,17350.00,17350.25,5
2026-02-27T14:30:02.750Z,17350.25,17350.00,17350.25,1
2026-02-27T14:30:02.875Z,17350.25,17350.00,17350.25,4
2026-02-27T14:30:03.000Z,17350.25,17350.00,17350.25,2
2026-02-27T14:30:03.125Z,17350.25,17350.00,17350.25,1
2026-02-27T14:30:03.250Z,17350.00,17350.00,17350.25,1
2026-02-27T14:30:03.375Z,17350.00,17350.00,17350.25,1
2026-02-27T14:30:03.500Z,17350.00,17350.00,17350.25,2
